target_visual_tokens,layer_index,n,context_attention_mass_mean,noise_attention_mass_mean
400,0,4006,0.7832304277958063,0.2168229589209935
400,1,4006,0.6640473859523215,0.3359857674425861
400,2,4006,0.8310317726535197,0.1690355854158216
400,3,4006,0.7417828335621568,0.25826055838117823
400,4,4006,0.964778418310035,0.035262815843983046
3000,0,4160,0.8296151968149038,0.17041027362530048
3000,1,4160,0.7171654334435096,0.2828523489145132
3000,2,4160,0.8570810171274038,0.14294823866624098
3000,3,4160,0.7578378530649038,0.24220980130709135
3000,4,4160,0.9711754432091346,0.028870464173647074
