layer_index,n,visual_attention_mass_mean
1,50,1.4792659282684326
2,50,2.8005387449264525
3,50,1.2073352754116058
4,50,0.37846062928438184
5,50,0.6653047579526902
6,50,0.6973508083820343
7,50,2.117377824783325
8,50,3.0740915083885194
9,50,3.0801393747329713
10,50,2.3391321444511415
11,50,1.6397084856033326
12,50,1.6677764391899108
13,50,2.551623864173889
14,50,1.1666989278793336
15,50,1.1568260169029236
16,50,0.8375471925735474
17,50,0.7635926789045334
18,50,1.398664448261261
19,50,1.0799856770038605
20,50,0.7826591289043426
21,50,0.8514370393753051
22,50,2.347686760425568
23,50,0.8712858116626739
24,50,0.8767275726795196
25,50,0.49550799250602723
26,50,1.4599233341217042
27,50,0.6339734411239624
28,50,1.0692985928058625
29,50,0.37844656497240065
30,50,0.37772991120815275
31,50,0.3770294773578644
32,50,0.6582312846183777
33,50,0.48458934247493746
34,50,0.4660374906659126
35,50,0.4733439719676971
36,50,0.3482430726289749
