layer_index,n,text_cosine_mean,visual_cosine_mean
1,50,0.018092363253235818,0.9199203729629517
2,50,0.020493824295699598,0.8747514319419861
3,50,0.017167927883565425,0.8687654495239258
4,50,0.012423830982297658,0.8577740073204041
5,50,0.011764461901038884,0.8373092591762543
6,50,0.009684667382389307,0.810516494512558
7,50,0.010710454378277064,0.7812677299976349
8,50,0.010724426619708538,0.7529601263999939
9,50,0.013526465073227882,0.7153346419334412
10,50,0.009731316473335028,0.6714170324802399
11,50,0.011099941041320562,0.591813269853592
12,50,0.014096020478755236,0.5454958653450013
13,50,0.010683270506560802,0.4924097841978073
14,50,0.010630231350660324,0.46585613489151
15,50,0.010759775340557099,0.44800142049789426
16,50,0.010095543172210454,0.4369761651754379
17,50,0.009186697099357844,0.42800582468509674
18,50,0.010137332063168287,0.4099027997255325
19,50,0.011061909515410662,0.38757827520370486
20,50,0.008358343811705709,0.38426192343235016
21,50,0.011100710425525904,0.36765397191047666
22,50,0.009159598592668771,0.365053603053093
23,50,0.008168359762057662,0.3552027642726898
24,50,0.010112824440002442,0.34994577050209047
25,50,0.010511873438954353,0.3488390588760376
26,50,0.0122353820130229,0.3415974318981171
27,50,0.015487110670655967,0.3246619975566864
28,50,0.013557812925428151,0.3255531269311905
29,50,0.014009298738092184,0.2973892545700073
30,50,0.013172310013324022,0.29737630367279055
31,50,0.016527915243059396,0.27283215790987014
32,50,0.01843126889318228,0.24350992560386658
33,50,0.016199266593903302,0.215019970536232
34,50,0.02103619135916233,0.18787535697221755
35,50,0.02897154863923788,0.16872091859579086
36,50,0.04965201303362846,0.14204520761966705
