dataset,epoch,checkpoint,task,accuracy
mvbench,6e,llava68k,action_prediction,0.45
mvbench,6e,llava68k,action_sequence,0.58
mvbench,6e,llava68k,moving_attribute,0.87
mvbench,6e,llava68k,moving_direction,0.35
mvbench,6e,llava68k,object_interaction,0.66
mvbench,6e,sharegpt68k,action_prediction,0.45
mvbench,6e,sharegpt68k,action_sequence,0.58
mvbench,6e,sharegpt68k,moving_attribute,0.87
mvbench,6e,sharegpt68k,moving_direction,0.35
mvbench,6e,sharegpt68k,object_interaction,0.66
mvbench,20e,llava68k,action_prediction,0.45
mvbench,20e,llava68k,action_sequence,0.58
mvbench,20e,llava68k,moving_attribute,0.87
mvbench,20e,llava68k,moving_direction,0.35
mvbench,20e,llava68k,object_interaction,0.66
mvbench,20e,sharegpt68k,action_prediction,0.45
mvbench,20e,sharegpt68k,action_sequence,0.58
mvbench,20e,sharegpt68k,moving_attribute,0.87
mvbench,20e,sharegpt68k,moving_direction,0.35
mvbench,20e,sharegpt68k,object_interaction,0.66
