layer,model,layer_count,layer_index_convention,rows,sample_count,visual_mass.ci95_high,visual_mass.ci95_low,visual_mass.mean,visual_mass.median,visual_mass.n,visual_mass.p25,visual_mass.p75,visual_mass.std,ci95_method
0,Qwen/Qwen2.5-VL-3B-Instruct,36,zero_based_native_decoder_layer,1000,1000,0.7707365024312806,0.7288498567644642,0.7497931795978724,0.6059543456082939,1000,0.4720543103469949,0.9817702783964206,0.3379010302335771,normal_approximation_1.96_SE
1,Qwen/Qwen2.5-VL-3B-Instruct,36,zero_based_native_decoder_layer,1000,1000,1.0302970824911815,0.986715631276136,1.0085063568836587,0.838020528175548,1000,0.7246325288701883,1.3084511294255208,0.3515730856506533,normal_approximation_1.96_SE
2,Qwen/Qwen2.5-VL-3B-Instruct,36,zero_based_native_decoder_layer,1000,1000,1.0096092633358145,0.9824852633202666,0.9960472633280405,0.9252229292051197,1000,0.8036419898071472,1.2166322187986225,0.21881025332544268,normal_approximation_1.96_SE
3,Qwen/Qwen2.5-VL-3B-Instruct,36,zero_based_native_decoder_layer,1000,1000,0.2552143531052506,0.24883400414589332,0.25202417862557197,0.24680592778895516,1000,0.21802470455440925,0.2795139467707486,0.051470497393505385,normal_approximation_1.96_SE
4,Qwen/Qwen2.5-VL-3B-Instruct,36,zero_based_native_decoder_layer,1000,1000,0.29552804431338625,0.28985779421999375,0.29269291926669,0.2877354864322115,1000,0.2601479009896508,0.3196412491488445,0.04574210509669106,normal_approximation_1.96_SE
5,Qwen/Qwen2.5-VL-3B-Instruct,36,zero_based_native_decoder_layer,1000,1000,0.4622272761055996,0.4518300439120299,0.45702866000881476,0.4396612277487293,1000,0.4004755944479257,0.4979370384244248,0.08387483442170635,normal_approximation_1.96_SE
6,Qwen/Qwen2.5-VL-3B-Instruct,36,zero_based_native_decoder_layer,1000,1000,1.2218135570058912,1.201328155039755,1.211570856022823,1.2221531863324344,1000,1.0785384361515753,1.347218697424978,0.16525645152316695,normal_approximation_1.96_SE
7,Qwen/Qwen2.5-VL-3B-Instruct,36,zero_based_native_decoder_layer,1000,1000,1.8155763705443773,1.7608470283011315,1.7882116994227544,1.8676844249857822,1000,1.375448602673714,2.1588114695769036,0.44150351104980945,normal_approximation_1.96_SE
8,Qwen/Qwen2.5-VL-3B-Instruct,36,zero_based_native_decoder_layer,1000,1000,2.01342457825866,1.9864395136366277,1.999932045947644,1.9616282742354088,1000,1.8467652692925185,2.136225876631215,0.21768945666442246,normal_approximation_1.96_SE
9,Qwen/Qwen2.5-VL-3B-Instruct,36,zero_based_native_decoder_layer,1000,1000,1.4582107114396574,1.4377621832168652,1.4479864473282613,1.449774911343411,1000,1.3245059362070606,1.578743854392087,0.164958989750659,normal_approximation_1.96_SE
