layer,rows,sample_count,visual_mass.ci95_high,visual_mass.ci95_low,visual_mass.mean,visual_mass.median,visual_mass.n,visual_mass.p25,visual_mass.p75,visual_mass.std
1,30,30,7.70898394703865,7.1525207304954534,7.427844365437825,7.422467470169067,30,6.7083576917648315,7.977681279182434,0.7889096313167877
2,30,30,7.512270698944727,6.707559399604797,7.105464506149292,6.79423189163208,30,6.208654522895813,7.895294904708862,1.1524659905962755
3,30,30,9.407345097064972,8.571184699138007,8.975944757461548,8.71684455871582,30,8.133957862854004,9.93178391456604,1.1670178703663998
4,30,30,8.015854133367538,7.508606986602148,7.746681880950928,7.6097424030303955,30,7.316074967384338,8.110897064208984,0.7099709940041877
5,30,30,4.615386372407278,4.314861554702123,4.465065940221151,4.500056266784668,30,4.189375162124634,4.673243045806885,0.43300167765853914
6,30,30,6.084859813451767,5.577715982993444,5.816548379262288,5.6409010887146,30,5.413225769996643,6.272624492645264,0.738100601122667
7,30,30,5.673917801777522,5.439418738683065,5.553432861963908,5.491267204284668,30,5.32143759727478,5.689083099365234,0.34046632625725354
8,30,30,6.514828837315242,6.126408627033233,6.319543075561524,6.311356067657471,30,5.937285423278809,6.670116186141968,0.5675956043955256
9,30,30,5.0549929412206005,4.678342957099279,4.860289891560872,4.715867519378662,30,4.537406921386719,5.077147960662842,0.5370745597648613
10,30,30,7.024015608628591,6.63874661842982,6.837353833516439,6.860816478729248,30,6.595670104026794,7.214130520820618,0.5355055649887772
11,30,30,4.985372107028961,4.664452928702036,4.824728663762411,4.7865049839019775,30,4.447893977165222,5.101678252220154,0.44073260493753036
12,30,30,7.560197933514912,7.1986086452007285,7.383457517623901,7.385573148727417,30,7.092758774757385,7.695128917694092,0.5157002383263465
13,30,30,5.343782107631365,4.870090655287107,5.102615729967753,5.061501502990723,30,4.638325095176697,5.787294864654541,0.7098838920159044
14,30,30,7.936080665588378,7.131526771386464,7.517388232549032,7.380706548690796,30,6.566917419433594,8.01276683807373,1.1188423893856065
15,30,30,9.590383052428564,8.783632745742798,9.194267193476358,9.354438304901123,30,8.376501560211182,9.947951555252075,1.1648196612283508
16,30,30,9.060306174755095,8.239860945145288,8.653168106079102,8.760760307312012,30,7.754713296890259,9.344051361083984,1.1921017189634031
17,30,30,10.354808455308278,9.229485100110372,9.78728125890096,9.866903305053711,30,8.446552038192749,10.85233187675476,1.5855773697296
18,30,30,7.773023637135824,7.2663058165709185,7.5180791536966955,7.333553314208984,30,6.99793815612793,7.8644773960113525,0.7214240931699576
19,30,30,8.327266168594358,7.2533308573563895,7.7867938359578455,7.4847493171691895,30,6.753041982650757,8.558197259902954,1.5725358035756967
20,30,30,9.006795142491658,8.37597802678744,8.677091519037882,8.377891540527344,30,7.964576482772827,9.26380705833435,0.9438358399219918
21,30,30,4.139009247223536,3.8116124363740282,3.973397135734558,3.933186411857605,30,3.581962287425995,4.18189263343811,0.4642112759828125
22,30,30,4.783482782046001,4.452351569135984,4.614964580535888,4.634985446929932,30,4.21182119846344,4.850996017456055,0.48127901775369936
23,30,30,4.0772437312205625,3.732658019463221,3.899102814992269,3.8147560358047485,30,3.5727802515029907,4.210588335990906,0.4936851636656616
24,30,30,3.125732237497965,2.9107283846537273,3.0206520160039267,2.9825860261917114,30,2.7874682545661926,3.262596070766449,0.30675886607825176
25,30,30,2.1869456496834756,1.9694583681225777,2.0801186323165894,2.0087037086486816,30,1.851216435432434,2.356749951839447,0.31340381360239544
26,30,30,2.1857790699601174,1.9844803299506504,2.0855692903200787,2.1069746017456055,30,1.9056110680103302,2.2752299308776855,0.27946844029823187
27,30,30,2.3389964401721954,2.0212537076075874,2.1783273140589396,2.1071653366088867,30,1.8658013343811035,2.5111441612243652,0.4564335423436605
28,30,30,5.06089914739132,4.6116000250975295,4.836254398028056,4.878484487533569,30,4.307574391365051,5.215477466583252,0.635115223332237
